"PT";"AFD";"BLOK";"IFTYPE";"IFSUBTYPE";"IFCODE";"IFDESC";"DIMENSI";"NILAI";"SATUAN";"BAIK";"SIAGA";"RUSAK";"WO_NO";"CREATED_DATE";"CREATED_BY";"MODIFIED_DATE";"MODIFIED_BY";"LAT";"LON";"TOPOGRAFI";"JENIS_TANAH";"ACTIVE"
"SA1";"OF";"015";"JL";"JLA";"JLAOF015";"Jalan Transport Timur OF015";"PJG";"253";"MTR";"253";"0";"0";"WOWIF/SA1/202606/020059";"17-JUN-26 06.58.24.000000 AM";"0107042";"17-JUN-26 06.58.24.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"015";"JL";"JLB";"JLBOF015";"Jalan Koleksi Utara OF015";"PJG";"1001";"MTR";"1001";"0";"0";"WOWIF/SA1/202607/020095";"24-JUL-26 06.36.34.000000 AM";"0107042";"24-JUL-26 06.36.34.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"016";"JL";"JLB";"JLBOF016";"Jalan Koleksi Utara OF016";"PJG";"1159";"MTR";"1109";"50";"0";"";"18-JUN-26 08.46.06.000000 AM";"0107042";"18-JUN-26 08.46.06.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"016";"JL";"JLC";"JLCOF016";"Jalan Transport Barat OF016";"PJG";"260";"MTR";"260";"0";"0";"";"12-JUN-26 08.48.23.000000 PM";"0107042";"12-JUN-26 08.48.23.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"016";"JL";"JLE";"JLEOF016";"Jalan Utama OF016";"PJG";"257";"MTR";"257";"0";"0";"WOWIF/SA1/202507/020040";"10-JUL-25 09.39.13.000000 AM";"0107042";"10-JUL-25 09.39.13.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"017";"JL";"JLB";"JLBOF017";"Jalan Koleksi Utara OF017";"PJG";"1162";"MTR";"1162";"0";"0";"WOWIF/SA1/202607/020096";"24-JUL-26 06.37.20.000000 AM";"0107042";"24-JUL-26 06.37.20.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"017";"JL";"JLC";"JLCOF017";"Jalan Transport Barat OF017";"PJG";"244";"MTR";"244";"0";"0";"";"12-JUN-26 08.49.09.000000 PM";"0107042";"12-JUN-26 08.49.09.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"017";"JL";"JLE";"JLEOF017";"Jalan Utama OF017";"PJG";"257";"MTR";"257";"0";"0";"";"12-JUN-26 08.49.56.000000 PM";"0107042";"12-JUN-26 08.49.56.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"018";"JL";"JLA";"JLAOF018";"Jalan Transport Timur OF018";"PJG";"261";"MTR";"261";"0";"0";"WOWIF/SA1/202606/020060";"17-JUN-26 06.59.06.000000 AM";"0107042";"17-JUN-26 06.59.06.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"018";"JL";"JLB";"JLBOF018";"Jalan Koleksi Utara OF018";"PJG";"999";"MTR";"974";"25";"0";"WOWIF/SA1/202608/020044";"14-AUG-26 06.41.01.000000 AM";"0107042";"14-AUG-26 06.41.01.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"019";"JL";"JLA";"JLAOF019";"Jalan Transport Timur OF019";"PJG";"252";"MTR";"252";"0";"0";"WOWIF/SA1/202606/020061";"17-JUN-26 06.59.43.000000 AM";"0107042";"17-JUN-26 06.59.43.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"019";"JL";"JLB";"JLBOF019";"Jalan Koleksi Utara OF019";"PJG";"999";"MTR";"999";"0";"0";"WOWIF/SA1/202606/020038";"13-JUN-26 11.51.39.000000 AM";"0107042";"13-JUN-26 11.51.39.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"019";"JL";"JLE";"JLEOF019";"Jalan Utama OF019";"PJG";"1002";"MTR";"1002";"0";"0";"WOWIF/SA1/202607/020060";"13-JUL-26 06.47.25.000000 AM";"0107042";"13-JUL-26 06.47.25.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"020";"JL";"JLB";"JLBOF020";"Jalan Koleksi Utara OF020";"PJG";"1163";"MTR";"1013";"150";"0";"";"12-JUN-26 10.51.19.000000 AM";"0107042";"12-JUN-26 10.51.19.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"020";"JL";"JLC";"JLCOF020";"Jalan Transport Barat OF020";"PJG";"273";"MTR";"273";"0";"0";"";"12-JUN-26 08.51.02.000000 PM";"0107042";"12-JUN-26 08.51.02.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"020";"JL";"JLD";"JLDOF020";"Jalan Koleksi Selatan OF020";"PJG";"1172";"MTR";"1172";"0";"0";"WOWIF/SA1/202607/020061";"13-JUL-26 06.48.09.000000 AM";"0107042";"13-JUL-26 06.48.09.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"020";"JL";"JLE";"JLEOF020";"Jalan Utama OF020";"PJG";"253";"MTR";"253";"0";"0";"";"12-JUN-26 08.51.55.000000 PM";"0107042";"12-JUN-26 08.51.55.000000 PM";"0107042";"0";"0";"";"";"Y"
